id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
1777,1729,1729,2008/2009,13,8659,8455,0,3,12,5,1.3,10,5,1.25,8.5,4.4,1.3,8,4.5,1.29,11,5,1.3,9,4.5,1.3
1778,1729,1729,2008/2009,13,8667,8456,2,2,2.88,3.25,2.5,2.65,3.25,2.4,2.6,3.2,2.4,2.4,3.25,2.5,2.9,3.3,2.4,2.9,3.3,2.5
1779,1729,1729,2008/2009,14,8650,9879,0,0,1.25,5.5,15,1.22,5.25,11,1.27,4.6,9,1.25,5.5,12,1.22,5.25,11,1.25,5.4,15
1780,1729,1729,2008/2009,14,8472,8654,0,1,2.1,3.4,3.5,2.15,3.15,3.15,2.15,3.1,3.1,2,3.4,3.75,2.1,3.2,3.2,2.1,3.4,3.4
1781,1729,1729,2008/2009,14,8586,8655,1,0,1.73,3.75,4.75,1.7,3.35,4.65,1.75,3.3,4.2,1.73,3.5,5,1.7,3.4,4.5,1.75,3.6,4.8
1782,1729,1729,2008/2009,14,10252,10260,0,0,5,3.6,1.73,4.45,3.3,1.75,4.2,3.3,1.75,4.5,3.5,1.8,4.2,3.4,1.75,5,3.7,1.75
1783,1729,1729,2008/2009,14,8549,8559,1,3,1.91,3.4,4.33,1.8,3.25,4.2,1.85,3.2,3.8,1.83,3.4,4.5,1.9,3.25,3.75,1.9,3.4,4.35
1784,1729,1729,2008/2009,14,8456,9825,3,0,3.25,3.4,2.2,3.25,3.15,2.1,3.1,3.2,2.1,3.2,3.4,2.2,3.4,3.25,2,3.25,3.4,2.2
1785,1729,1729,2008/2009,14,8462,8667,2,2,1.8,3.6,4.5,1.8,3.25,4.25,1.75,3.3,4.2,1.83,3.5,4.33,1.8,3.25,4.2,1.85,3.4,4.35
1786,1729,1729,2008/2009,14,10194,8659,1,0,2.2,3.3,3.4,2.1,3.15,3.25,2,3.2,3.3,2.25,3.3,3.2,2.1,3.2,3.2,2.2,3.25,3.4
1787,1729,1729,2008/2009,14,8528,8668,1,0,2.5,3.3,2.88,2.5,3.15,2.6,2.55,3.1,2.55,2.5,3.3,2.8,2.5,3.2,2.6,2.5,3.3,2.8
1788,1729,1729,2008/2009,14,8455,10261,0,0,1.2,6,19,1.2,5.5,12,1.2,5.2,11,1.2,6,15,1.2,5.5,12,1.2,6.5,15
